timestamp,first_cell_year,was_smartphone,birth_year,generation
"2022/02/08 9:16:41 PM EST","2001","No","1983","Millennial"
"2022/02/08 9:20:04 PM EST","2005","No","1997","Gen Z"
"2022/02/08 9:22:26 PM EST","1997","No","1981","Millennial"
"2022/02/08 9:24:09 PM EST","2019","Yes","2003","Gen Z"
"2022/02/08 9:24:17 PM EST","1997","No","1980","Xennial "
"2022/02/08 9:24:27 PM EST","2012","No","1965","x gen"
"2022/02/08 9:25:54 PM EST","2008","No","1997","Millennial"
"2022/02/08 9:27:34 PM EST","2006","No","1999","Zillennial"
"2022/02/08 9:30:59 PM EST","2000","No","1982","Millennial"
"2022/02/08 9:31:55 PM EST","2016","Yes","2006","Gen Z"
"2022/02/08 9:37:14 PM EST","2002","No","1980","Xenial"
"2022/02/08 9:39:32 PM EST","1999","No","1980","Gen Z"
"2022/02/08 9:40:40 PM EST","2004","No","1993","Millennial"
"2022/02/08 9:43:05 PM EST","2011","No","1997","Zillennial"
"2022/02/08 9:43:11 PM EST","2001","No","1982","Millennial"
"2022/02/08 9:46:34 PM EST","1996","No","1979","Gen Z"
"2022/02/08 9:50:25 PM EST","2004","No","1989","Millennial"
"2022/02/08 9:50:44 PM EST","2013","Yes","2003","Gen Z"
"2022/02/08 9:50:44 PM EST","2016","Yes","2004","Gen Z"
"2022/02/08 9:51:42 PM EST","2012","No","1996","Zillennial"
"2022/02/08 9:52:48 PM EST","2001","No","1982","Xennial"
"2022/02/08 9:55:53 PM EST","2017","Yes","2004","Gen Z"
"2022/02/08 9:56:23 PM EST","2001","No","1983","Millennial"
"2022/02/08 9:57:04 PM EST","2000","No","1986","Millennial"
"2022/02/08 9:57:24 PM EST","2008","No","1996","Gen Z"
"2022/02/08 9:58:31 PM EST","2001","No","1983","Millennial"
"2022/02/08 10:03:54 PM EST","2003","No","1985","Gen Z"
"2022/02/08 10:11:16 PM EST","2012","No","1995","Millennial"
"2022/02/08 10:11:59 PM EST","2013","No","1996","Millennial"
"2022/02/08 10:20:47 PM EST","2008","No","1991","Millennial"
"2022/02/08 10:22:20 PM EST","2005","No","1988","Millennial"
"2022/02/08 10:27:43 PM EST","2003","No","1988","Millennial"
"2022/02/08 10:39:45 PM EST","2005","No","1992","Millennial"
"2022/02/08 10:43:37 PM EST","2014","No","1999","Bit of both"
"2022/02/08 10:48:29 PM EST","2006","No","1995","Millennial"
"2022/02/08 10:48:33 PM EST","2009","No","1997","Both, more towards gen z"
"2022/02/08 10:51:53 PM EST","2010","No","1999","Millennial-Leaning Zillennial"
"2022/02/08 10:56:26 PM EST","2008","No","1998","Gen Z"
"2022/02/08 10:56:34 PM EST","2010","No","1997","“Zillenial.” “Officially” Gen Z, but I feel more like a Millennial. "
"2022/02/08 11:07:49 PM EST","2012","No","1997","Gen Z"
"2022/02/08 11:11:27 PM EST","2005","No","1990","Millennial"
"2022/02/08 11:13:10 PM EST","2007","No","1995","Hybrid zillennial"
"2022/02/08 11:28:00 PM EST","2010","No","1998","Gen Z"
"2022/02/08 11:28:10 PM EST","2008","No","1990","Millennial"
"2022/02/08 11:28:48 PM EST","2005","No","1985","Millennial"
"2022/02/08 11:42:59 PM EST","2008","No","1995","Zillenial"
"2022/02/08 11:49:38 PM EST","2005","No","1993","Millennial"
"2022/02/08 11:55:01 PM EST","2013","Yes","1999","Zillennial"
"2022/02/08 11:56:15 PM EST","2003","No","1986","Millennial"
"2022/02/08 11:56:30 PM EST","2003","No","1996","Gen Z"
"2022/02/09 12:21:12 AM EST","2013","No","2001","Gen Z"
"2022/02/09 12:25:00 AM EST","2018","Yes","2006","None of above"
"2022/02/09 12:50:53 AM EST","2012","No","1999","Gen Z"
"2022/02/09 1:06:40 AM EST","2006","Yes","1993","Millennial"
"2022/02/09 1:35:25 AM EST","2015","Yes","2003","Gen Z"
"2022/02/09 1:41:13 AM EST","2002","No","1985","Millennial"
"2022/02/09 1:49:19 AM EST","2006","No","1994","Millennial"
"2022/02/09 1:57:28 AM EST","2005","No","1990","Millennial"
"2022/02/09 2:13:24 AM EST","2004","No","1994","Gen Z"
"2022/02/09 2:14:33 AM EST","2020","Yes","2008","Gen Z"
"2022/02/09 2:44:57 AM EST","2013","No","1996","Millennial"
"2022/02/09 3:01:08 AM EST","2009","No","1995","Zillennial "
"2022/02/09 3:16:39 AM EST","2004","No","1992","Millennial"
"2022/02/09 3:20:25 AM EST","2009","No","1985","Millennial"
"2022/02/09 3:26:07 AM EST","2008","No","1999","Gen Z"
"2022/02/09 3:26:34 AM EST","2010","Yes","1996","Core Zillenial"
"2022/02/09 3:28:53 AM EST","2009","No","1998","Zillennial"
"2022/02/09 4:00:01 AM EST","2013","No","1998","Millennial"
"2022/02/09 4:01:23 AM EST","2008","No","1996","Millennial"
"2022/02/09 4:13:21 AM EST","2011","Yes","1997","Millennial"
"2022/02/09 4:48:38 AM EST","2013","No","2001","Gen Z"
"2022/02/09 4:49:26 AM EST","2003","No","1995","Millennial"
"2022/02/09 5:04:46 AM EST","1998","No","1981","Xennial"
"2022/02/09 6:01:03 AM EST","1995","No","1981","Gen X, also don't know if it's useful to your research, but still today I use a Motorola Razer v3 flip-phone from 2003 and refuse to use a smartphone (filling this survey from my office tablet)"
"2022/02/09 6:07:26 AM EST","2010","No","1993","Millennial"
"2022/02/09 6:21:50 AM EST","2004","No","1992","Millennial"
"2022/02/09 6:39:23 AM EST","2017","Yes","2004","Gen Z"
"2022/02/09 7:09:16 AM EST","1999","No","1981","Xennial"
"2022/02/09 7:31:38 AM EST","2002","No","1986","Millennial"
"2022/02/09 8:32:50 AM EST","2009","No","1995","Millennial"
"2022/02/09 8:49:33 AM EST","2003","No","1985","Millennial"
"2022/02/09 8:58:18 AM EST","2006","No","1992","Millennial"
"2022/02/09 9:13:21 AM EST","2000","No","1985","Millennial"
"2022/02/09 9:17:34 AM EST","2002","No","1984","Millennial"
"2022/02/09 9:43:34 AM EST","2009","No","1997","I have no idea honestly"
"2022/02/09 10:32:20 AM EST","2009","No","1996","Millennial"
"2022/02/09 10:35:26 AM EST","2005","No","1997","Gen Z"
"2022/02/09 10:37:01 AM EST","2007","Yes","1991","Millennial"
"2022/02/09 10:38:09 AM EST","2009","Yes","1991","Millennial"
"2022/02/09 10:51:55 AM EST","2005","No","1992","Millennial"
"2022/02/09 10:55:07 AM EST","2013","No","2002","Gen Z"
"2022/02/09 11:01:39 AM EST","2002","No","1985","Millennial"
"2022/02/09 11:43:46 AM EST","2010","No","1998","Zillennial/Cusper"
"2022/02/09 12:11:00 PM EST","2005","No","1994","Millennial"
"2022/02/09 12:13:14 PM EST","2013","No","2002","Gen Z"
"2022/02/09 12:15:13 PM EST","2005","No","1990","Millennial"
"2022/02/09 12:16:15 PM EST","2005","No","1988","Millennial"
"2022/02/09 12:34:47 PM EST","2003","No","1988","Millennial"
"2022/02/09 12:52:40 PM EST","2007","No","1991","Millennial"
"2022/02/09 12:52:58 PM EST","2000","No","1985","Millennial"
"2022/02/09 12:57:11 PM EST","2008","No","1996","Millennial"
